Date,Open,High,Low,Close,Adj Close,Volume
2019-07-01,168.020004,168.020004,161.559998,162.970001,162.325577,2346800
2019-07-02,163.070007,163.229996,159.509995,159.789993,159.158142,1860200
2019-07-03,160.389999,161.529999,159.339996,161.419998,160.781708,1180600
2019-07-05,161.080002,162.419998,159.520004,161.970001,161.329529,1125300
2019-07-08,160.259995,161.720001,159.039993,160.820007,160.184082,1586300
2019-07-09,159.410004,159.940002,158.690002,159.190002,158.560532,1218000
2019-07-10,162.169998,162.820007,159.759995,159.990005,159.357361,2077600
2019-07-11,160.110001,163.360001,159.759995,162.600006,161.957047,2499000
2019-07-12,164.630005,168.440002,164.309998,167.470001,166.807785,3310800
2019-07-15,167.509995,168.850006,166.270004,167.899994,167.236084,2021800
2019-07-16,168.820007,172.960007,168.820007,169.789993,169.118607,2744100
2019-07-17,169.570007,169.779999,164.740005,165.050003,164.397354,3074900
2019-07-18,164.639999,166.500000,163.759995,165.380005,164.726059,1681600
2019-07-19,166.169998,168.869995,166.149994,167.130005,166.469131,2067200
2019-07-22,168.539993,171.130005,168.240005,169.550003,168.879562,2130700
2019-07-23,171.000000,173.949997,171.000000,173.770004,173.082870,2866400
2019-07-24,174.789993,178.500000,174.419998,176.009995,175.314011,2679100
2019-07-25,175.600006,176.759995,174.630005,175.869995,175.174561,1985700
2019-07-26,175.800003,175.919998,173.800003,174.940002,174.248245,2003200
2019-07-29,174.529999,175.039993,171.699997,172.600006,171.917511,1389100
2019-07-30,171.539993,172.940002,169.589996,172.389999,171.708328,1226300
2019-07-31,172.440002,173.990005,168.580002,170.529999,169.855682,1485400
2019-08-01,170.160004,171.470001,162.690002,163.309998,162.664230,3039200
2019-08-02,162.779999,164.800003,161.330002,163.729996,163.082565,1959100
2019-08-05,160.089996,160.160004,155.020004,157.259995,156.638153,3200700
2019-08-06,159.160004,162.990005,158.559998,161.190002,160.552612,2802100
2019-08-07,157.820007,160.869995,155.229996,160.660004,160.024719,2398700
2019-08-08,162.089996,165.199997,161.509995,164.229996,163.580597,1793300
2019-08-09,163.720001,163.940002,160.419998,162.130005,161.488907,1270200
2019-08-12,161.029999,161.229996,158.410004,158.809998,158.182022,912200
2019-08-13,159.639999,163.600006,157.320007,160.520004,159.885269,1835000
2019-08-14,157.779999,158.039993,154.320007,155.059998,154.446854,1688400
2019-08-15,155.410004,155.490005,151.470001,152.820007,152.215729,1874000
2019-08-16,154.179993,156.910004,153.990005,156.000000,155.383133,1560400
2019-08-19,158.470001,159.240005,157.500000,158.309998,157.684006,1458300
2019-08-20,157.559998,157.970001,155.309998,155.839996,155.223770,1089100
2019-08-21,157.770004,158.800003,157.020004,158.179993,157.554520,1044400
2019-08-22,158.259995,158.990005,155.759995,158.100006,157.474838,1156300
2019-08-23,156.509995,157.190002,151.119995,151.970001,151.369080,2806500
2019-08-26,153.220001,154.729996,151.660004,152.490005,151.887024,1270800
2019-08-27,153.029999,154.110001,148.800003,149.529999,148.938721,1809600
2019-08-28,149.139999,154.449997,147.820007,153.179993,152.574280,2064900
2019-08-29,155.000000,158.490005,154.880005,157.449997,156.827408,1684600
2019-08-30,158.490005,160.309998,158.160004,158.610001,157.982819,1151500
2019-09-03,155.789993,157.250000,153.910004,155.369995,154.755630,1270600
2019-09-04,157.539993,159.580002,157.220001,159.059998,158.431030,1260400
2019-09-05,161.059998,165.360001,160.710007,164.380005,163.730011,2119200
2019-09-06,164.000000,164.820007,161.619995,161.869995,161.869995,1413400
2019-09-09,163.100006,167.630005,162.949997,167.419998,167.419998,2271600
2019-09-10,167.330002,172.500000,166.889999,172.259995,172.259995,2407300
2019-09-11,172.800003,173.960007,169.690002,173.960007,173.960007,1642700
2019-09-12,174.089996,174.679993,171.410004,173.509995,173.509995,1520500
2019-09-13,174.899994,176.250000,173.009995,174.100006,174.100006,1456400
2019-09-16,172.380005,174.949997,171.009995,173.570007,173.570007,1546400
2019-09-17,172.369995,174.440002,171.139999,173.300003,173.300003,4053400
2019-09-18,153.300003,154.570007,148.500000,150.910004,150.910004,22812400
2019-09-19,150.220001,152.600006,149.500000,152.449997,152.449997,5557800
2019-09-20,153.360001,153.360001,148.449997,148.779999,148.779999,5606500
2019-09-23,147.539993,149.100006,145.460007,145.669998,145.669998,4084500
2019-09-24,145.929993,147.619995,142.490005,143.250000,143.250000,5502600
2019-09-25,143.149994,147.820007,143.149994,147.039993,147.039993,3551200
2019-09-26,147.270004,147.479996,144.470001,145.160004,145.160004,2033200
2019-09-27,145.669998,146.820007,143.910004,144.960007,144.960007,1967700
2019-09-30,145.309998,146.500000,144.960007,145.570007,145.570007,1693400
2019-10-01,145.589996,146.839996,140.619995,141.639999,141.639999,3434800
